rosbagTimestamp,seq,secs,nsecs,xl,yl,zl,normality
1.57E+18,142,1574069808,232621495,-0.322717579,0.432958848,0,1
1.57E+18,143,1574069808,494533496,-0.179287544,0.240532693,0,1
1.57E+18,144,1574069808,754804234,-0.16135879,0.216479424,0,1
1.57E+18,145,1574069809,9998056,-0.071715018,0.096213077,0,1
1.57E+18,146,1574069809,304225550,-0.16135879,0.216479424,0,1
1.57E+18,147,1574069809,539216024,-0.388456346,0.521154169,0,1
1.57E+18,148,1574069809,811060146,-0.173311293,0.232514937,0,1
1.57E+18,149,1574069810,61719116,-0.388456346,0.521154169,0,1
1.57E+18,150,1574069810,306946966,-0.215145053,0.288639232,0,1
1.57E+18,151,1574069810,570948850,-0.131477532,0.176390642,0,1
1.57E+18,152,1574069810,828868139,-0.16135879,0.216479424,0,1
1.57E+18,153,1574069811,87538356,-0.280883819,0.376834553,0,1
1.57E+18,154,1574069811,351642535,-0.20319255,0.272603719,0,1
1.57E+18,155,1574069811,587538483,-0.065738766,0.088195321,0,1
1.57E+18,156,1574069811,851596262,-0.328693831,0.440976604,0,1
1.57E+18,157,1574069812,116268433,-0.215145053,0.288639232,0,1
1.57E+18,158,1574069812,397945047,-0.143430035,0.192426155,0,1
1.57E+18,159,1574069812,629328301,-0.442242609,0.593313977,0,1
1.57E+18,160,1574069812,889108593,-0.095620024,0.128284103,0,1
1.57E+18,161,1574069813,174973830,-0.065738766,0.088195321,0,1
1.57E+18,162,1574069813,430320781,-0.310765076,0.416923335,0,1
1.57E+18,163,1574069813,722056312,-0.047810012,0.064142052,0,1
1.57E+18,164,1574069813,946610324,-0.268931316,0.36079904,0,1
1.57E+18,165,1574069814,210551324,-0.239050059,0.320710258,0,1
1.57E+18,166,1574069814,476657047,-0.239050059,0.320710258,0,1
1.57E+18,167,1574069814,734255500,-0.20319255,0.272603719,0,1
1.57E+18,168,1574069814,970048659,-0.131477532,0.176390642,0,1
1.57E+18,169,1574069815,249370392,-0.029881257,0.040088782,0,1
1.57E+18,170,1574069815,472264106,-0.107572526,0.144319616,0,1
1.57E+18,171,1574069815,706541466,-0.274907568,0.368816796,0,1
1.57E+18,172,1574069815,952530027,-0.023905006,0.032071026,0,1
1.57E+18,173,1574069816,189851645,-0.029881257,0.040088782,0,1
1.57E+18,174,1574069816,429679521,-0.059762515,0.080177564,0,1
1.57E+18,175,1574069816,666500837,-0.119525029,0.160355129,0,1
1.57E+18,176,1574069816,909471876,-0.089643772,0.120266347,0,1
1.57E+18,177,1574069817,145539532,-0.089643772,0.120266347,0,1
1.57E+18,178,1574069817,412937096,-0.089643772,0.120266347,0,1
